name,seat_no,party,symbol,alliance,seat,district,division
নাজমুল হক প্রধান,1,Bangladesh JaSaD,মোটরগাড়ি (কার),,Panchagarh-1,Panchagarh,Rangpur
মোঃ ফেরদাউস আলম,1,Bangladesh Labor Party,আনারস,,Panchagarh-1,Panchagarh,Rangpur
মোঃ সিরাজুল ইসলাম,1,BNF,টেলিভিশন,,Panchagarh-1,Panchagarh,Rangpur
মুহাম্মদ নওশাদ জমির,1,BNP,ধানের শীষ,BNP,Panchagarh-1,Panchagarh,Rangpur
মোঃ আব্দুল ওয়াদুদ (বাদশা),1,BSP,একতারা,,Panchagarh-1,Panchagarh,Rangpur
মোঃ মাহাফুজার রহমান,1,GOP (Nuru),ট্রাক,,Panchagarh-1,Panchagarh,Rangpur
মোঃ সারজিস আলম,1,NCP,শাপলা কলি,Jamaat-NCP,Panchagarh-1,Panchagarh,Rangpur
মোঃ এমরান আল আমিন,2,Bangladesh JaSaD,মোটরগাড়ি (কার),,Panchagarh-2,Panchagarh,Rangpur
ফরহাদ হোসেন আজাদ,2,BNP,ধানের শীষ,BNP,Panchagarh-2,Panchagarh,Rangpur
মোঃ দেলোয়ার হোসেন,2,BSP,একতারা,,Panchagarh-2,Panchagarh,Rangpur
মোঃ আশরাফুল আলম,2,CPB,কাস্তে,,Panchagarh-2,Panchagarh,Rangpur
মাহমুদ হোসেন সুমন,2,Independent,ঘোড়া,,Panchagarh-2,Panchagarh,Rangpur
মোঃ কামরুল হাসান প্রধান,2,Islami Andolan Bangladesh,হাতপাখা,IAB,Panchagarh-2,Panchagarh,Rangpur
মোঃ সফিউল আলম,2,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Panchagarh-2,Panchagarh,Rangpur
মোঃ লুৎফর রহমান রিপন,2,JaPa,লাঙ্গল,JaPa,Panchagarh-2,Panchagarh,Rangpur
মির্জা ফখরুল ইসলাম আলমগীর,3,BNP,ধানের শীষ,BNP,Thakurgaon-1,Thakurgaon,Rangpur
মোঃ খাদেমুল ইসলাম,3,Islami Andolan Bangladesh,হাতপাখা,IAB,Thakurgaon-1,Thakurgaon,Rangpur
দেলাওয়ার হোসেন,3,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Thakurgaon-1,Thakurgaon,Rangpur
মোঃ নাহিদ-রানা,4,AB Party,ঈগল,,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ আব্দুস সালাম,4,BNP,ধানের শীষ,BNP,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ ফারুক হোসেন,4,GOP (Nuru),ট্রাক,,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ রেজাউল করিম,4,Islami Andolan Bangladesh,হাতপাখা,IAB,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ আব্দুল হাকিম,4,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Thakurgaon-2,Thakurgaon,Rangpur
নুরুন নাহার বেগম,4,JaPa,লাঙ্গল,JaPa,Thakurgaon-2,Thakurgaon,Rangpur
এস এম খলিলুর রহমান সরকার,5,Bangladesh Muslim League,হারিকেন,,Thakurgaon-3,Thakurgaon,Rangpur
কমলা কান্ত রায়,5,BMJP,রকেট,,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ জাহিদুর রহমান,5,BNP,ধানের শীষ,BNP,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ আবুল কালাম আজাদ,5,BSP,একতারা,,Thakurgaon-3,Thakurgaon,Rangpur
প্রভাত সমীর শাহজাহান আলম,5,CPB,কাস্তে,,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ মামুনুর রশিদ মামুন,5,GOP (Nuru),ট্রাক,,Thakurgaon-3,Thakurgaon,Rangpur
মোছাঃ আশা মনি,5,Independent,ফুটবল,,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ  আল আমিন,5,Islami Andolan Bangladesh,হাতপাখা,IAB,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ মিজানুর রহমান,5,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Thakurgaon-3,Thakurgaon,Rangpur
হাফিজ উদ্দিন আহম্মেদ,5,JaPa,লাঙ্গল,JaPa,Thakurgaon-3,Thakurgaon,Rangpur
মো. মনজুরুল ইসলাম,6,BNP,ধানের শীষ,BNP,Dinajpur-1,Dinajpur,Rangpur
মো. চাঁন মিঞা,6,Islami Andolan Bangladesh,হাতপাখা,IAB,Dinajpur-1,Dinajpur,Rangpur
মো. মতিউর রহমান,6,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Dinajpur-1,Dinajpur,Rangpur
শাহিনুর ইসলাম,6,JaPa,লাঙ্গল,JaPa,Dinajpur-1,Dinajpur,Rangpur
মো. সাদিক রিয়াজ,7,BNP,ধানের শীষ,BNP,Dinajpur-2,Dinajpur,Rangpur
রেদওয়ানুল করীম রাবিদ,7,Islami Andolan Bangladesh,হাতপাখা,IAB,Dinajpur-2,Dinajpur,Rangpur
এ. কে. এম. আফজালুল আনাম,7,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Dinajpur-2,Dinajpur,Rangpur
মোঃ জুলফিকার রহমান,7,JaPa,লাঙ্গল,JaPa,Dinajpur-2,Dinajpur,Rangpur
লায়লা তুল রীমা,8,Bangladesh Muslim League,হারিকেন,,Dinajpur-3,Dinajpur,Rangpur
কিবরিয়া হোসেন,8,BaSaD,মই,,Dinajpur-3,Dinajpur,Rangpur
সৈয়দ জাহাঙ্গীর আলম,8,BNP,ধানের শীষ,BNP,Dinajpur-3,Dinajpur,Rangpur
অমৃত কুমার রায়,8,CPB,কাস্তে,,Dinajpur-3,Dinajpur,Rangpur
মোঃ খাইরুজ্জামান,8,Islami Andolan Bangladesh,হাতপাখা,IAB,Dinajpur-3,Dinajpur,Rangpur
মোঃ মাইনুল আলম,8,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Dinajpur-3,Dinajpur,Rangpur
মোঃ রবিউল ইসলাম,8,Janatar Dol,কলম,,Dinajpur-3,Dinajpur,Rangpur
আহমেদ শফি রুবেল,8,JaPa,লাঙ্গল,JaPa,Dinajpur-3,Dinajpur,Rangpur
মোঃ আখতারুজ্জামান মিয়া,9,BNP,ধানের শীষ,BNP,Dinajpur-4,Dinajpur,Rangpur
মোঃ আনোয়ার হোসাইন,9,Islami Andolan Bangladesh,হাতপাখা,IAB,Dinajpur-4,Dinajpur,Rangpur
মোঃ আফতাব উদ্দীন মোল্লা,9,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Dinajpur-4,Dinajpur,Rangpur
নূরল আমিন শাহ,9,JaPa,লাঙ্গল,JaPa,Dinajpur-4,Dinajpur,Rangpur
মোঃ নুরুল আমিন শাহ,9,JP (Manju),লাঙ্গল,,Dinajpur-4,Dinajpur,Rangpur
এ কে এম কামরুজ্জামান,10,BNP,ধানের শীষ,BNP,Dinajpur-5,Dinajpur,Rangpur
এ জেড এম রেজওয়ানুল হক,10,Independent,তালা,,Dinajpur-5,Dinajpur,Rangpur
এস এম জাকারিযা বাচ্চু,10,Independent,কলস,,Dinajpur-5,Dinajpur,Rangpur
মোঃ রুস্তম আলী,10,Independent,মোটর সাইকেল,,Dinajpur-5,Dinajpur,Rangpur
মোঃ হযরত আলী বেলাল,10,Independent,হরিণ,,Dinajpur-5,Dinajpur,Rangpur
মোঃ কাজী আব্দুল গফুর,10,JaPa,লাঙ্গল,JaPa,Dinajpur-5,Dinajpur,Rangpur
মোঃ আব্দুল আহাদ,10,NCP,শাপলা কলি,Jamaat-NCP,Dinajpur-5,Dinajpur,Rangpur
মোঃ আব্দুল হাকিম,11,BaSaD,মই,,Dinajpur-6,Dinajpur,Rangpur
আবু জাফর মোঃ জাহিদ হোসেন,11,BNP,ধানের শীষ,BNP,Dinajpur-6,Dinajpur,Rangpur
মোঃ আব্দুল্লাহ,11,Independent,ফুটবল,,Dinajpur-6,Dinajpur,Rangpur
মোঃ শাহনেওয়াজ ফিরোজ শুভ শাহ,11,Independent,ঘোড়া,,Dinajpur-6,Dinajpur,Rangpur
মোঃ নুর আলম ছিদ্দিক,11,Islami Andolan Bangladesh,হাতপাখা,IAB,Dinajpur-6,Dinajpur,Rangpur
মোঃ আনোয়ারুল ইসলাম,11,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Dinajpur-6,Dinajpur,Rangpur
মোঃ রেজাউল হক,11,JaPa,লাঙ্গল,JaPa,Dinajpur-6,Dinajpur,Rangpur
মোঃ রেজাউল হক,11,JP (Manju),লাঙ্গল,,Dinajpur-6,Dinajpur,Rangpur
মোঃ রফিকুল ইসলাম,12,BaSaD (M),কাঁচি,,Nilphamari-1,Nilphamari,Rangpur
মোঃ সিরাজুল ইসলাম,12,BNF,টেলিভিশন,,Nilphamari-1,Nilphamari,Rangpur
মোঃ আঃ জলিল,12,Islami Andolan Bangladesh,হাতপাখা,IAB,Nilphamari-1,Nilphamari,Rangpur
মোঃ আব্দুস সাত্তার,12,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Nilphamari-1,Nilphamari,Rangpur
মাওলানা মোঃ মন্জুরুল ইসলাম,12,Jamiat Ulama-e-Islam Bangladesh,খেজুর গাছ,BNP,Nilphamari-1,Nilphamari,Rangpur
মোঃ তছলিম উদ্দিন,12,JaPa,লাঙ্গল,JaPa,Nilphamari-1,Nilphamari,Rangpur
মোঃ মখদুম আজম মাশরাফী,12,JP (Manju),বাইসাইকেল,,Nilphamari-1,Nilphamari,Rangpur
জেবেল রহমান গানি,12,NAP (Muzaffar),গাভী,,Nilphamari-1,Nilphamari,Rangpur
মোঃ সিরাজুল ইসলাম,13,BNF,টেলিভিশন,,Nilphamari-2,Nilphamari,Rangpur
শাহরিন ইসলাম,13,BNP,ধানের শীষ,BNP,Nilphamari-2,Nilphamari,Rangpur
মোঃ মিনহাজুল ইসলাম মিনহাজ,13,Independent,ফুটবল,,Nilphamari-2,Nilphamari,Rangpur
হাছিবুল ইসলাম,13,Islami Andolan Bangladesh,হাতপাখা,IAB,Nilphamari-2,Nilphamari,Rangpur
আলফারুক আব্দুল লতীফ,13,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Nilphamari-2,Nilphamari,Rangpur
মোঃ সরোয়ারুল আলম,13,Khelafat Majlish,দেওয়াল ঘড়ি,,Nilphamari-2,Nilphamari,Rangpur
আলহাজ্ব সৈয়দ আলী,14,BNP,ধানের শীষ,BNP,Nilphamari-3,Nilphamari,Rangpur
মোঃ আমজাদ হোসেন (সরকার),14,Islami Andolan Bangladesh,হাতপাখা,IAB,Nilphamari-3,Nilphamari,Rangpur
ওবায়দুল্লাহ সালাফী,14,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Nilphamari-3,Nilphamari,Rangpur
মোঃ রোহান চৌধুরী,14,JaPa,লাঙ্গল,JaPa,Nilphamari-3,Nilphamari,Rangpur
মোঃ মাইদুল ইসলাম,15,BaSaD (M),কাঁচি,,Nilphamari-4,Nilphamari,Rangpur
মির্জা মোঃ শওকত আকবর (রওশন),15,BJP,কাঁঠাল,,Nilphamari-4,Nilphamari,Rangpur
মোঃ আবদুল গফুর সরকার,15,BNP,ধানের শীষ,BNP,Nilphamari-4,Nilphamari,Rangpur
এসএম মামুনুর রশিদ,15,Independent,মোটর সাইকেল,,Nilphamari-4,Nilphamari,Rangpur
জোবায়দুর রহমান (হীরা),15,Independent,ঘোড়া,,Nilphamari-4,Nilphamari,Rangpur
মোঃ রিয়াদ আরফান সরকার,15,Independent,ফুটবল,,Nilphamari-4,Nilphamari,Rangpur
মোঃ শহিদুল ইসলাম,15,Islami Andolan Bangladesh,হাতপাখা,IAB,Nilphamari-4,Nilphamari,Rangpur
আব্দুল মুনতাকিম,15,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Nilphamari-4,Nilphamari,Rangpur
সিদ্দিকুর আলম,15,JaPa,লাঙ্গল,JaPa,Nilphamari-4,Nilphamari,Rangpur
মোঃ সিদ্দিকুল আলম,15,JP (Manju),লাঙ্গল,,Nilphamari-4,Nilphamari,Rangpur
হাবিব মোঃ ফারুক,16,Bangladesh JaSaD,মোটরগাড়ি (কার),,Lalmonirhat-1,Lalmonirhat,Rangpur
মোঃ শুভ আহমেদ,16,Bangladesh Labor Party,আনারস,,Lalmonirhat-1,Lalmonirhat,Rangpur
মোঃ হাসান রাজীব প্রধান,16,BNP,ধানের শীষ,BNP,Lalmonirhat-1,Lalmonirhat,Rangpur
আবু সামা মোঃ রেদওয়ানুল হক,16,Independent,তালা,,Lalmonirhat-1,Lalmonirhat,Rangpur
মোঃ রেজাউল করিম সরকার,16,Independent,মোটর সাইকেল,,Lalmonirhat-1,Lalmonirhat,Rangpur
শিহাব আহমেদ,16,Independent,ঘোড়া,,Lalmonirhat-1,Lalmonirhat,Rangpur
মুহাম্মদ ফজলুল করিম শাহারিয়া,16,Islami Andolan Bangladesh,হাতপাখা,IAB,Lalmonirhat-1,Lalmonirhat,Rangpur
মোঃ আনোয়ারুল ইসলাম রাজু,16,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Lalmonirhat-1,Lalmonirhat,Rangpur
মোঃ মসিউর রহমান রাঙ্গাঁ,16,JaPa,লাঙ্গল,JaPa,Lalmonirhat-1,Lalmonirhat,Rangpur
মোঃ রোকন উদ্দীন বাবুল,17,BNP,ধানের শীষ,BNP,Lalmonirhat-2,Lalmonirhat,Rangpur
নিমাই চন্দ্র রায়,17,CPB,কাস্তে,,Lalmonirhat-2,Lalmonirhat,Rangpur
মোঃ মমতাজ আলী,17,Independent,মোটর সাইকেল,,Lalmonirhat-2,Lalmonirhat,Rangpur
মোঃ মাহফুজুর রহমান,17,Islami Andolan Bangladesh,হাতপাখা,IAB,Lalmonirhat-2,Lalmonirhat,Rangpur
মোঃ ফিরোজ হায়দার,17,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Lalmonirhat-2,Lalmonirhat,Rangpur
মোঃ শামীম কামাল,17,Janatar Dol,কলম,,Lalmonirhat-2,Lalmonirhat,Rangpur
মোঃ এলাহান উদ্দিন,17,JaPa,লাঙ্গল,JaPa,Lalmonirhat-2,Lalmonirhat,Rangpur
আসাদুল হাবিব দুলু,18,BNP,ধানের শীষ,BNP,Lalmonirhat-3,Lalmonirhat,Rangpur
মধু সুদন রায়,18,CPB,কাস্তে,,Lalmonirhat-3,Lalmonirhat,Rangpur
দীপক কুমার রায়,18,Ganosamhati Andolon (Saki),মাথাল,,Lalmonirhat-3,Lalmonirhat,Rangpur
মোঃ আমিনুল ইসলাম,18,Islami Andolan Bangladesh,হাতপাখা,IAB,Lalmonirhat-3,Lalmonirhat,Rangpur
মোঃ আবু তাহের,18,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Lalmonirhat-3,Lalmonirhat,Rangpur
মোঃ জাহিদ হাসান,18,JaPa,লাঙ্গল,JaPa,Lalmonirhat-3,Lalmonirhat,Rangpur
মো. মোকাররম হোসেন সুজন,19,BNP,ধানের শীষ,BNP,Rangpur-1,Rangpur,Rangpur
এ টি এম গোলাম মোস্তফা,19,Islami Andolan Bangladesh,হাতপাখা,IAB,Rangpur-1,Rangpur,Rangpur
রায়হান সিরাজী,19,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Rangpur-1,Rangpur,Rangpur
মোঃ মঞ্জুম আলী,19,JaPa,লাঙ্গল,JaPa,Rangpur-1,Rangpur,Rangpur
মোহাম্মদ আলী সরকার,20,BNP,ধানের শীষ,BNP,Rangpur-2,Rangpur,Rangpur
মাওলানা আশরাফ আলী,20,Islami Andolan Bangladesh,হাতপাখা,IAB,Rangpur-2,Rangpur,Rangpur
এ টি এম আজহারুল ইসলাম,20,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Rangpur-2,Rangpur,Rangpur
আনিসুল ইসলাম মন্ডল,20,JaPa,লাঙ্গল,JaPa,Rangpur-2,Rangpur,Rangpur
মো. শামসুজ্জামান সামু,21,BNP,ধানের শীষ,BNP,Rangpur-3,Rangpur,Rangpur
মো. আমিরুজ্জামান পিয়াল,21,Islami Andolan Bangladesh,হাতপাখা,IAB,Rangpur-3,Rangpur,Rangpur
মাহবুবুর রহমান বেলাল,21,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Rangpur-3,Rangpur,Rangpur
জি এম কাদের,21,JaPa,লাঙ্গল,JaPa,Rangpur-3,Rangpur,Rangpur
মোহাম্মদ এমদাদুল হক ভরসা,22,BNP,ধানের শীষ,BNP,Rangpur-4,Rangpur,Rangpur
মুহাম্মদ জাহিদ হোসেন,22,Islami Andolan Bangladesh,হাতপাখা,IAB,Rangpur-4,Rangpur,Rangpur
মো. মাহবুবার রহমান,22,JaPa,লাঙ্গল,JaPa,Rangpur-4,Rangpur,Rangpur
আখতার হোসেন,22,NCP,শাপলা কলি,,Rangpur-4,Rangpur,Rangpur
মোঃ আব্দুল বাছেত,23,AB Party,ঈগল,,Rangpur-5,Rangpur,Rangpur
মোঃ বাবুল আক্তার,23,BaSaD (M),কাঁচি,,Rangpur-5,Rangpur,Rangpur
মোঃ গোলাম রব্বানী,23,BNP,ধানের শীষ,BNP,Rangpur-5,Rangpur,Rangpur
মোঃ আবু হেলাল,23,CPB,কাস্তে,,Rangpur-5,Rangpur,Rangpur
খন্দকার মুকিত আল মাহমুদ,23,Independent,ফুটবল,,Rangpur-5,Rangpur,Rangpur
মোঃ গোলজার হোসেন,23,Islami Andolan Bangladesh,হাতপাখা,IAB,Rangpur-5,Rangpur,Rangpur
মোঃ গোলাম রব্বানী,23,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Rangpur-5,Rangpur,Rangpur
এস এম ফখর উজ জামান,23,JaPa,লাঙ্গল,JaPa,Rangpur-5,Rangpur,Rangpur
মোফাখখারুল ইসলাম নবাব,23,Nagorik Oikko,কেটলি,,Rangpur-5,Rangpur,Rangpur
মোঃ ছাদেকুল ইসলাম,24,AB Party,ঈগল,,Rangpur-6,Rangpur,Rangpur
মোঃ সাইফুল ইসলাম,24,BNP,ধানের শীষ,BNP,Rangpur-6,Rangpur,Rangpur
আবু জাফর মোঃ জাহিদ,24,Independent,ঘোড়া,,Rangpur-6,Rangpur,Rangpur
খন্দকার শাহিদুল ইসলাম,24,Independent,ফুটবল,,Rangpur-6,Rangpur,Rangpur
সুলতান মাহমুদ,24,Islami Andolan Bangladesh,হাতপাখা,IAB,Rangpur-6,Rangpur,Rangpur
মোঃ নুরুল আমীন,24,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Rangpur-6,Rangpur,Rangpur
মোঃ নূর আলম মিয়া,24,JaPa,লাঙ্গল,JaPa,Rangpur-6,Rangpur,Rangpur
সাইফুর রহমান রানা,25,BNP,ধানের শীষ,BNP,Kurigram-1,Kurigram,Rangpur
মোঃ বিন ইয়ামীন মোল্লা,25,GOP (Nuru),ট্রাক,,Kurigram-1,Kurigram,Rangpur
মোঃ হারিসুল বারী,25,Islami Andolan Bangladesh,হাতপাখা,IAB,Kurigram-1,Kurigram,Rangpur
মোঃ আব্দুল হাই,25,Jaker Party,গোলাপ ফুল,,Kurigram-1,Kurigram,Rangpur
মোঃ আনোয়ারুল ইসলাম,25,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Kurigram-1,Kurigram,Rangpur
এ কে এম মোস্তাফিজুর রহমান,25,JaPa,লাঙ্গল,JaPa,Kurigram-1,Kurigram,Rangpur
মোঃ নজরুল ইসলাম খান,26,AB Party,ঈগল,,Kurigram-2,Kurigram,Rangpur
মোঃ আতিকুর রহমান,26,Bangladesh Jatiya Party,কাঁঠাল,,Kurigram-2,Kurigram,Rangpur
মোঃ সোহেল হোসনাইন কায়কোবাদ,26,BNP,ধানের শীষ,BNP,Kurigram-2,Kurigram,Rangpur
নূর মোহাম্মদ,26,CPB,কাস্তে,,Kurigram-2,Kurigram,Rangpur
মোঃ নূর বখ্‌ত,26,Islami Andolan Bangladesh,হাতপাখা,IAB,Kurigram-2,Kurigram,Rangpur
পনির উদ্দিন আহমেদ,26,JaPa,লাঙ্গল,JaPa,Kurigram-2,Kurigram,Rangpur
মুহাম্মদ আব্দুস সালাম,26,Nagorik Oikko,কেটলি,,Kurigram-2,Kurigram,Rangpur
আতিকুর রহমান মোজাহিদ,26,NCP,শাপলা কলি,Jamaat-NCP,Kurigram-2,Kurigram,Rangpur
তাসভীর উল ইসলাম,27,BNP,ধানের শীষ,BNP,Kurigram-3,Kurigram,Rangpur
সরকার মোঃ নুরে এরশাদ সিদ্দিকী,27,GOP (Nuru),ট্রাক,,Kurigram-3,Kurigram,Rangpur
ডাঃ মোঃ আককাছ  আলী সরকার,27,Islami Andolan Bangladesh,হাতপাখা,IAB,Kurigram-3,Kurigram,Rangpur
মোঃ মাহবুবুল আলম,27,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Kurigram-3,Kurigram,Rangpur
আব্দুস সোবহান,27,JaPa,লাঙ্গল,JaPa,Kurigram-3,Kurigram,Rangpur
শেখ মোহাম্মদ আব্দুল খালেক,28,BaSaD,মই,,Kurigram-4,Kurigram,Rangpur
রাজু আহমেদ,28,BaSaD (M),কাঁচি,,Kurigram-4,Kurigram,Rangpur
মোঃ আজিজুর রহমান,28,BNP,ধানের শীষ,BNP,Kurigram-4,Kurigram,Rangpur
মোঃ রুকুনুজ্জামান,28,Independent,বালতি,,Kurigram-4,Kurigram,Rangpur
মোঃ হাফিজুর  রহমান,28,Islami Andolan Bangladesh,হাতপাখা,IAB,Kurigram-4,Kurigram,Rangpur
মোঃ মোস্তাফিজুর রহমান,28,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Kurigram-4,Kurigram,Rangpur
কে এম ফজলুল মন্ডল,28,JaPa,লাঙ্গল,JaPa,Kurigram-4,Kurigram,Rangpur
মোঃ কওছর আজম হান্নু,29,Amjanatar Dol,প্রজাপতি,,Gaibandha-1,Gaibandha,Rangpur
পরমানন্দ দাস,29,BaSaD (M),কাঁচি,,Gaibandha-1,Gaibandha,Rangpur
খন্দকার জিয়াউল ইসলাম মোহাম্মদ আলী,29,BNP,ধানের শীষ,BNP,Gaibandha-1,Gaibandha,Rangpur
মোঃ মোস্তফা মহসিন,29,Independent,ঢেঁকি,,Gaibandha-1,Gaibandha,Rangpur
মোছাঃ ছালমা আক্তার,29,Independent,কলস,,Gaibandha-1,Gaibandha,Rangpur
মোঃ রমজান আলী,29,Islami Andolan Bangladesh,হাতপাখা,IAB,Gaibandha-1,Gaibandha,Rangpur
মোঃ মাজেদুর রহমান,29,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Gaibandha-1,Gaibandha,Rangpur
শামীম হায়দার পাটোয়ারী,29,JaPa,লাঙ্গল,JaPa,Gaibandha-1,Gaibandha,Rangpur
আহসানুল হাবীব সাঈদ,30,BaSaD (M),কাঁচি,,Gaibandha-2,Gaibandha,Rangpur
মোঃ আনিসুজ্জামান খান বাবু,30,BNP,ধানের শীষ,BNP,Gaibandha-2,Gaibandha,Rangpur
মিহির কুমার ঘোষ,30,CPB,কাস্তে,,Gaibandha-2,Gaibandha,Rangpur
মোহাম্মদ আব্দুল মাজেদ,30,Islami Andolan Bangladesh,হাতপাখা,IAB,Gaibandha-2,Gaibandha,Rangpur
মোঃ আব্দুল করিম,30,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Gaibandha-2,Gaibandha,Rangpur
মোঃ শাহেদুর জাহান,30,Janatar Dol,কলম,,Gaibandha-2,Gaibandha,Rangpur
মোঃ আব্দুর রশীদ সরকার,30,JaPa,লাঙ্গল,JaPa,Gaibandha-2,Gaibandha,Rangpur
অধ্যাপক ডাঃ সৈয়দ মইনুল হাসান সাদিক,31,BNP,ধানের শীষ,BNP,Gaibandha-3,Gaibandha,Rangpur
মোঃ আব্দুল্লাহ আদিল,31,CPB,কাস্তে,,Gaibandha-3,Gaibandha,Rangpur
মোঃ সুরুজ মিয়া,31,GOP (Nuru),ট্রাক,,Gaibandha-3,Gaibandha,Rangpur
এস এম খাদেমুল ইসলাম খুদি,31,Independent,ঘোড়া,,Gaibandha-3,Gaibandha,Rangpur
মোঃ আজিজার রহমান,31,Independent,ঢেঁকি,,Gaibandha-3,Gaibandha,Rangpur
মোঃ মোছাদ্দিকুল ইসলাম,31,Insaniat Biplab Bangladesh,আপেল,,Gaibandha-3,Gaibandha,Rangpur
মোঃ এ টি এম আওলাদ হোসাইন,31,Islami Andolan Bangladesh,হাতপাখা,IAB,Gaibandha-3,Gaibandha,Rangpur
আবুল কাওছার মোহাম্মদ নজরুল ইসলাম,31,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Gaibandha-3,Gaibandha,Rangpur
মোঃ মনজুরুল হক,31,Janatar Dol,কলম,,Gaibandha-3,Gaibandha,Rangpur
মইনুর রাব্বী চৌধুরী,31,JaPa,লাঙ্গল,JaPa,Gaibandha-3,Gaibandha,Rangpur
মোহাম্মদ শামীম কায়সার,32,BNP,ধানের শীষ,BNP,Gaibandha-4,Gaibandha,Rangpur
মোঃ আব্দুর রউফ আকন্দ,32,Independent,মোটর সাইকেল,,Gaibandha-4,Gaibandha,Rangpur
সৈয়দ তৌহিদুল ইসলাম তুহিন,32,Islami Andolan Bangladesh,হাতপাখা,IAB,Gaibandha-4,Gaibandha,Rangpur
মোঃ আব্দুর রহিম সরকার,32,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Gaibandha-4,Gaibandha,Rangpur
কাজী মোঃ মশিউর রহমান,32,JaPa,লাঙ্গল,JaPa,Gaibandha-4,Gaibandha,Rangpur
মোঃ আতোয়ারুল ইসলাম,32,Revolutionary Workers Party of Bangladesh,কোদাল,,Gaibandha-4,Gaibandha,Rangpur
মোছাঃ রাহেলা খাতুন,33,BaSaD (M),কাঁচি,,Gaibandha-5,Gaibandha,Rangpur
মোঃ ফারুক আলম সরকার,33,BNP,ধানের শীষ,BNP,Gaibandha-5,Gaibandha,Rangpur
শ্রী নিরমল,33,CPB,কাস্তে,,Gaibandha-5,Gaibandha,Rangpur
এ এইচ এম গোলাম শহীদ রন্জু,33,Independent,মোটর সাইকেল,,Gaibandha-5,Gaibandha,Rangpur
নাহিদুজ্জামান নিশাদ,33,Independent,হাঁস,,Gaibandha-5,Gaibandha,Rangpur
হাসান মেহেদী বিদ্যুৎ,33,Independent,ঘোড়া,,Gaibandha-5,Gaibandha,Rangpur
মোঃ আজিজুল ইসলাম,33,Islami Andolan Bangladesh,হাতপাখা,IAB,Gaibandha-5,Gaibandha,Rangpur
মোঃ আব্দুল ওয়ারেছ,33,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Gaibandha-5,Gaibandha,Rangpur
শামীম হায়দার পাটোয়ারী,33,JaPa,লাঙ্গল,JaPa,Gaibandha-5,Gaibandha,Rangpur
মোঃ ওয়াজেদ পারভেজ,34,BaSaD,মই,,Joypurhat-1,Joypurhat,Rajshahi
তৌফিকা দেওয়ান,34,BaSaD (M),কাঁচি,,Joypurhat-1,Joypurhat,Rajshahi
মোঃ মাসুদ রানা প্রধান,34,BNP,ধানের শীষ,BNP,Joypurhat-1,Joypurhat,Rajshahi
সাবেকুন নাহার,34,Independent,ঘোড়া,,Joypurhat-1,Joypurhat,Rajshahi
মোঃ ফজলুর রহমান সাঈদ,34,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Joypurhat-1,Joypurhat,Rajshahi
এসএ জাহিদ,35,AB Party,ঈগল,,Joypurhat-2,Joypurhat,Rajshahi
মোঃ আব্দুল বারী,35,BNP,ধানের শীষ,BNP,Joypurhat-2,Joypurhat,Rajshahi
এস এম রাশেদুল আলম,35,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Joypurhat-2,Joypurhat,Rajshahi
