seat,vote_diff_pc
Noakhali-5,7.28
Noakhali-6,3.96
Lakshmipur-1,19.76
Lakshmipur-2,
Lakshmipur-3,
Lakshmipur-4,2.16
Chittagong-1,10.06
Chittagong-2,12.77
Chittagong-3,18.6
Chittagong-4,11.21
Chittagong-5,9.18
Chittagong-6,15.8
Chittagong-7,6.66
Chittagong-8,14.31
Chittagong-9,5.11
Chittagong-10,5.54
Chittagong-11,9.72
Chittagong-12,10.08
Chittagong-13,19.96
Chittagong-14,
Chittagong-15,6.81
Chittagong-16,
Cox's Bazar-1,13.28
Cox's Bazar-2,2.6
Cox's Bazar-3,15.9
Cox's Bazar-4,13.61
Khagrachari,
Rangamati,
Bandarban,
