seat,swing_count
Panchagarh-1,1
Panchagarh-2,1
Thakurgaon-1,2
Thakurgaon-2,0
Thakurgaon-3,0
Dinajpur-1,0
Dinajpur-2,2
Dinajpur-3,1
Dinajpur-4,2
Dinajpur-5,0
Dinajpur-6,0
Nilphamari-1,0
Nilphamari-2,0
Nilphamari-3,0
Nilphamari-4,1
Lalmonirhat-1,0
Lalmonirhat-2,0
Lalmonirhat-3,0
Rangpur-1,0
Rangpur-2,0
Rangpur-3,0
Rangpur-4,0
Rangpur-5,0
Rangpur-6,0
Kurigram-1,0
Kurigram-2,0
Kurigram-3,0
Kurigram-4,0
Gaibandha-1,0
Gaibandha-2,0
Gaibandha-3,0
Gaibandha-4,1
Gaibandha-5,0
Joypurhat-1,0
Joypurhat-2,0
Bogra-1,1
Bogra-2,0
Bogra-3,0
Bogra-4,0
Bogra-5,1
Bogra-6,0
Bogra-7,0
Chapai Nawabganj-1,1
Chapai Nawabganj-2,0
Chapai Nawabganj-3,1
Naogaon-1,0
Naogaon-2,1
Naogaon-3,1
Naogaon-4,0
Naogaon-5,0
Naogaon-6,1
Rajshahi-1,1
Rajshahi-2,0
Rajshahi-3,1
Rajshahi-4,1
Rajshahi-5,1
Rajshahi-6,0
Natore-1,0
Natore-2,1
Natore-3,1
Natore-4,2
Sirajganj-1,0
Sirajganj-2,2
Sirajganj-3,1
Sirajganj-4,3
Sirajganj-5,3
Sirajganj-6,3
Pabna-1,0
Pabna-2,3
Pabna-3,3
Pabna-4,1
Pabna-5,0
Meherpur-1,1
Meherpur-2,0
Kushtia-1,1
Kushtia-2,0
Kushtia-3,1
Kushtia-4,1
Chuadanga-1,1
Chuadanga-2,1
Jhenaidah-1,0
Jhenaidah-2,1
Jhenaidah-3,1
Jhenaidah-4,1
Jessore-1,2
Jessore-2,0
Jessore-3,2
Jessore-4,0
Jessore-5,2
Jessore-6,0
Magura-1,1
Magura-2,2
Narail-1,0
Narail-2,0
Bagerhat-1,0
Bagerhat-2,3
Bagerhat-3,0
Bagerhat-4,0
Khulna-1,0
Khulna-2,0
Khulna-3,3
Khulna-4,2
Khulna-5,0
Khulna-6,0
Satkhira-1,2
Satkhira-2,0
Satkhira-3,0
Satkhira-4,0
Barguna-1,0
Barguna-2,1
Patuakhali-1,3
Patuakhali-2,2
Patuakhali-3,0
Patuakhali-4,0
